id,codigo,descripcion,tipo,estado,creado_por,fecha_creacion,actualizado_por,fecha_actualizacion
1,RES-001-2023,Reglamento de Gestión Académica,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
2,RES-002-2023,Reglamento de Grados y Títulos,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
3,RES-003-2023,Reglamento de Docencia,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
4,RES-004-2023,Reglamento de Investigación,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
5,RES-005-2023,Reglamento de Proyección Social,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
6,RES-006-2023,Reglamento de Bienestar Universitario,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
7,RES-007-2023,Reglamento de Biblioteca,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
8,RES-008-2023,Reglamento de Laboratorios,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
9,RES-009-2023,Reglamento de Posgrado,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
10,RES-010-2023,Reglamento de Educación a Distancia,REGULACION,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
11,CONV-001-2023,Convenio con Empresa ABC,CONVENIO,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
12,CONV-002-2023,Convenio con Institución XYZ,CONVENIO,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
13,CONV-003-2023,Convenio con Organización 123,CONVENIO,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
14,CONV-004-2023,Convenio con Universidad HERM,CONVENIO,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
15,CONV-005-2023,Convenio con Empresa TECNO,CONVENIO,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
16,ACU-001-2023,Acta de Consejo Universitario 001-2023,ACTA,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
17,ACU-002-2023,Acta de Consejo Universitario 002-2023,ACTA,ACTIVO,admin@unsaac.edu.pe,2023-01-15 10:00:00,admin@unsaac.edu.pe,2023-01-15 10:00:00
